,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
3377,0451197550,The Hand That Rocks the Ladle: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Tamar Myers,2000,Signet Book,,
3378,038081918X,Getting Lucky (Avon Light Contemporary Romances),Susan Andersen,2003,Avon,,
3379,0380814390,Lola Carlyle Reveals All (Avon Light Contemporary Romances),Rachel Gibson,2002,Avon,,
3380,0671786601,To Trust a Stranger,Karen Robards,2002,Pocket Star,,
3381,0380782340,Nobody's Baby But Mine,Susan Elizabeth Phillips,1997,Avon,Fiction,"The Plan Genius physics professor Dr, Jane Darlington desperately wants a baby. But finding a father won't be easy. Jane's super-intelligence made her feel like a freak when she was growing up, and she's determined to spare her own child that suffering. Which means she must find someone very special to father her child. Someone . . . well . . stupid. The Target Cal Bonner, the Chicago Stars' legendary quarterback, seems like the perfect choice. But his champion good looks and down-home ways are deceiving. Dr. Jane learns too late that this good ol'boy is a lot smarter than he lets on -- and he's not about to be used and abandoned by a brainy baby-mad schemer. The Explosion A brillant, lonely woman who dreams only of motherhood . . . A take no-prisoners tough guy who'll settle for nothing less than surrender . . . Can passion and physical attraction propel two strong-willed yet vulnerable people to a totally unexpected love?"
3382,0515133868,Once Upon a Kiss,Nora Roberts,2002,Jove Books,Fiction,"Offers a collection of romantic stories of enchantment, passion, and vision, including a tale about demon slayer Kadra, who is sent to New York to stop the demon Sorak with the help of private investigator Harper Doyle."
3383,1551668270,Cold Tea On A Hot Day,Curtiss Matlock,2001,Mira,Fiction,"Marilee Jones, a single mother caring for both her special-needs son and her abandoned niece while running the local newspaper, finds her life turned upside down when hotshot newspaperman Tate Holloway arrives in town and wreaks havoc upon her heart. Original."
3384,0671729454,If There Be Thorns (Dollanganger),V.C. Andrews,1990,Pocket,Fiction,"Now a major Lifetime movie event—Book Three of the Dollanganger series that began with Flowers in the Attic—the novel of forbidden love that captured the world’s imagination and earned V.C. Andrews a fiercely devoted fanbase. They hide the shocking truth to protect their children. But someone who knows their dark secret is watching. Christopher and Cathy have made a loving home for their handsome and talented teenager Jory, their imaginative nine-year-old Bart, and a sweet baby daughter. Then an elderly woman and her strange butler move in next door. The Old Woman in Black watches from her window, lures lonely Bart inside with cookies and ice cream, and asks him to call her “grandmother.” Slowly Bart transforms, each visit pushing him closer to the edge of madness and violence, while his anguished parents can only watch. For Cathy and Chris, the horrors of the past have come home…and everything they love may soon be torn from them."
3385,0671007718,Into the Garden (Wildflowers),V.C. Andrews,1999,Pocket Books,Fiction,"THEY BEGAN AS STRANGERS -- FOUR TEENAGE GIRLS WITH NOTHING IN COMMON BUT THEIR MISERABLE CHILDHOODS. SOON, THEY WOULD REALIZE THAT THEIR SECRET PASTS HAD BOUND THEM TOGETHER FOREVER.... Misty, Star, Jade, and Cat first came together in Dr. Marlowe's group therapy sessions. They trusted no one but each other -- and even that bond was fragile at best. One by one, each of the Wildflowers told her own story and bravely unveiled the inner wounds inflicted by years of lies, deceit, and untold family secrets; each revealed the shocking tales of how their parents hurt them, used them, or simply abandoned them. And as they shared their darkest feelings, they no longer felt like lost souls with nowhere to turn. Finally, years of loneliness and pain gave way to the realization that someone else in this world understood them. But then the sessions ended, and the girls didn't know if they would ever see each other again. Now they are coming together one more time. Jade has sent out invitations to her parents' mansion -- the sprawling, opulent home that served as a battleground for much of her young life. There, the four will rekindle their bonds of friendship and trust. But this time, away from Dr. Marlowe's watchful eye, it will be different. Today, in the mansion's attic, Star, Jade, Cat, and Misty will take each other's hands and swear to tell the real truth -- the shattering secrets that lie deep within them like smoldering coals. And once the darkest secret of all is spoken aloud, there will be no turning back. For there may be some things the Wildflowers should leave buried forever...."
3386,0553211668,Candide (Candide),Francois M. Voltaire,1984,Bantam,,
3387,0887307876,"The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions",Scott Adams,1996,HarperBusiness,Humor,"The creator of Dilbert, the fastest-growing comic strip in the nation (syndicated in nearly 1000 newspapers), takes a look at corporate America in all its glorious lunacy. Lavishly illustrated with Dilbert strips, these hilarious essays on incompetent bosses, management fads, bewildering technological changes and so much more, will make anyone who has ever worked in an office laugh out loud in recognition. The Dilbert Principle: The most ineffective workers will be systematically moved to the place where they can do the least damage -- management. Since 1989, Scott Adams has been illustrating this principle each day, lampooning the corporate world through Dilbert, his enormously popular comic strip. In Dilbert, the potato-shaped, abuse-absorbing hero of the strip, Adams has given voice to the millions of Americans buffeted by the many adversities of the workplace. Now he takes the next step, attacking corporate culture head-on in this lighthearted series of essays. Packed with more than 100 hilarious cartoons, these 25 chapters explore the zeitgeist of ever-changing management trends, overbearing egos, management incompetence, bottomless bureaucracies, petrifying performance reviews, three-hour meetings, the confusion of the information superhighway and more. With sharp eyes, and an even sharper wit, Adams exposes -- and skewers -- the bizarre absurdities of everyday corporate life. Readers will be convinced that he must be spying on their bosses, The Dilbert Principle rings so true!"
3388,080410946X,Object Lessons,Anna Quindlen,1992,Ivy Books,Fiction,"The critically acclaimed, New York Times best-selling first novel by the Pulitzer Prize-winning columnist portrays three generations of a rich Irish family as seen through the eyes of a girl coming of age in the sixties. Reissue."
3389,0743422449,Mercy,Jodi Picoult,2001,Washington Square Press,,
3390,051511779X,Born in Shame,Nora Roberts,1996,Jove Books,Fiction,"Her life turned upside-down after learning the identity of her real father, successful graphic artist Shannon Bodine reluctantly sets out to meet her family in County Clare and discovers the meaning of true love"
3391,055358264X,Dream Country,Luanne Rice,2002,Bantam Books,Fiction,"Thirteen years after her three-year-old son disappeared into the wilderness of Wyoming, Daisy Tucker returns to the scene of the crime to confront the demons of her past and to find her runaway daughter, the twin sister of her missing son. Reprint."
3392,0380756250,Once a Princess,Johanna Lindsey,1991,Avon,Fiction,"Once Upon A Time...In a rustic Missiissippi tavern, a beautiful exiled princess was forced to dance for the pleasure of others--unaware of her regal birthright...and infuriated by a magnificent golden-eyed devil who crossed an ocean to possess her.From A Far Off Land... A bold and brazen prince came to America to claim his promised bride. But the spirited vixen spurned his affections while inflaming his royal blood with passion's fire...impelling virile Stefan Barany to take in sensuous and searing conquest the love Tatiana vowed never to yield."
3393,037570910X,The Feast of Love (Vintage Contemporaries (Paperback)),Charles Baxter,2001,Vintage Books USA,Fiction,"A collection of vignettes set in a coffee shop explores the subtle movements of love between ordinary people. By the author of Believers and Harmony of the World. Reader's Guide available. Reprint. 75,000 first printing."
3394,0060927569,High Tide in Tucson : Essays from Now or Never,Barbara Kingsolver,1996,Perennial,Literary Collections,"""There is no one quite like Barbara Kingsolver in contemporary literature,"" raves the Washington Post Book World, and it is right. She has been nominated three times for the ABBY award, and her critically acclaimed writings consistently enjoy spectacular commercial success as they entertain and touch her legions of loyal fans. In High Tide in Tucson, she returnsto her familiar themes of family, community, the common good and the natural world. The title essay considers Buster, a hermit crab that accidentally stows away on Kingsolver's return trip from the Bahamas to her desert home, and turns out to have manic-depressive tendencies. Buster is running around for all he's worth -- one can only presume it's high tide in Tucson. Kingsolver brings a moral vision and refreshing sense of humor to subjects ranging from modern motherhood to the history of private property to the suspended citizenship of human beings in the Animal Kingdom. Beautifully packaged, with original illustrations by well-known illustrator Paul Mirocha, these wise lessons on the urgent business of being alive make it a perfect gift for Kingsolver's many fans."
3395,0140157379,Haroun and the Sea of Stories,Salman Rushdie,1991,Penguin Books,Fiction,"Vowing to return to his father--the city storyteller--his lost gift of speech, Haroun begins a quest that introduces him to a mad bus driver, the Shadow Warriors, and the land of darkness"
3396,0451526562,A Tale of Two Cities,Charles Dickens,1997,Signet Book,Fiction,The grim tale of the people who were caught up in the wave of violence and murder which marked the French Revolution
3397,0425158632,Executive Orders (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,Fiction,"""Debt of Honor"" ended with Tom Clancy's most shocking conclusion ever: a joint session of Congress destroyed, the President dead, most of the Cabinet and the Congress dead, the Supreme Court and Joint Chiefs likewise. Dazed and confused, the man who only minutes before had been confirmed as the new Vice-President of the United States is told that he is now President. President John Patrick Ryan. And that is where Executive Orders begins. Ryan had agreed to accept the vice-presidency only as caretaker for a year, and now suddenly, an incalculable weight has fallen on his shoulders. How do you run a government without a government? Where do you even begin? With stunning force, Ryan's responsibilities crush in on him. He must calm an anxious and grieving nation, allay the skepticism of the world's leaders, conduct a swift investigation of the tragedy, and arrange a massive state funeral - all while attempting to reconstitute a Cabinet and a Congress with the greatest possible speed. But that is not all. Many eyes are on him now, and many of them are unfriendly. In Beijing, Tehran, and other world capitals, including Washington, D.C., there are those eager to take advantage where they may, some of whom bear a deep animus toward the United States - some of whom, from Ryan's past, harbor intense animosity toward the new President himself. Soon they will begin to move on their opportunities; soon they will present Jack Ryan with a crisis so great even he cannot imagine it."
3398,0671755064,SHAMPOO PLANET : SHAMPOO PLANET,Douglas Coupland,1993,Washington Square Press,Fiction,"Chronicles six months in the life of Tyler Johnson, an ambitious, conservative twenty year old who was raised in a hippie commune. By the author of Generation X. Reprint."
3399,0425132048,Eyes of Prey,John Sandford,2004,Berkley Publishing Group,Fiction,"When a series of gruesome mutilation killings stuns Minneapolis Lt. Lucas Davenport, still battling personal demons unleashed by an earlier investigation, must force himself to track the killer. Reprint. PW. K."
3400,0446606189,Cat & Mouse (Alex Cross Novels),James Patterson,1998,Warner Books,Fiction,"In this New York Times bestseller, two killers-one operating in America, one in Europe-believe Alex Cross is the only worthy opponent in the deadly game each has planned. Gary Soneji, a dying prison escapee, is looking for revenge on Cross, while another insane killer is pursued by Thomas Augustine Pierce-a brilliant and relentless detective who may even be better than Cross. As the bodies pile up, and Cross is nearly murdered in his own home, the game of cat and mouse leads to one final trap. . . The body count is high, the tension the highest, and the two killers on the loose are watching every move their pursuers make. Who is the cat, and who is the mouse? What and where is the final trap? And who survives?"
3401,0446612944,"Tall, Dark, and Cajun",Sandra Hill,2003,Warner Forever,Fiction,"After dumping her fianc, decorator Rachel Fortier heads to the Louisiana Bayou to stay with her great aunt. There, she meets Remy LeDeux. For this unlikely pair, it's love at first sight--if they can get beyond the clash of her habits with his country boy ways. Original."
3402,0786889691,The Blue Hour,T. Jefferson Parker,2000,Hyperion,Fiction,T. Jefferson Parker returns with an explosive new thriller that pits an unlikely team of detectives -- who become an even more unlikely pair of lovers -- against a ruthless serial killer.
3403,155166951X,What The Lady Wants,Jennifer Crusie,2002,Mira,Fiction,"A hilarious modern romance follows disillusioned private investigator Mitch Peabody as he finds himself falling head over heels in love with his sexy new employer, Mae Sullivan, who has hired him to find the men who murdered her uncle. Reprint."
3404,0440222877,Missing Pieces,JOY FIELDING,1998,Island Books,Fiction,"The author of a string of best-selling novels presents a thriller featuring family therapist Kate Sinclair, whose world falls apart when her half sister plans to marry a man accused of killing thirteen women. Reprint."
3405,074320607X,"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark,2004,Simon & Schuster,Fiction,"""The definition of an owl had always pleased him: a night bird of prey...sharp talons and soft plumage which permits noiseless flight...applied figuratively to a person of nocturnal habits. 'I am The Owl,' he would whisper to himself after he had selected his prey, 'and nighttime is my time.'"" Jean Sheridan, a college dean and prominent historian, sets out to her hometown in Cornwall-on- Hudson, New York, to attend the twenty-year reunion of alumni of Stonecroft Academy, where she is to be honored along with six other members of her class. There is, however, something uneasy in the air: one woman in the group about to be feted, Alison Kendall, a beautiful, high-powered Hollywood agent, died just a few days before, drowned in her pool during an early- morning swim, the fifth woman in the class whose life has come to a sudden, mysterious end. Also adding to Jean's sense of unease is a taunting, anonymous fax she has just received, referring to her daughter, Lily, a child she had given up for adoption twenty years ago, the offspring of a romance between her and a West Point cadet killed in an accident a week before graduation. She had always kept the child's existence a secret, so who has found out? And why the implied threat now? Struggling to conceal her fears, Jean arrives at the hotel where the reunion is being held. One by one she sees the other honorees, including Laura Wilcox, the class beauty, whose dazzling exterior belies the fact that her television career is sinking, and the four men who, like Jean, had spent four bitterly unhappy years at Stonecroft: Carter (formerly Howie) Stewart, an acerbic and successful playwright, once the class nerd; renowned child psychiatrist and talk-show celebrity Mark Fleischman, who has never been able to resolve the pain of his own adolescence; Gordon Amory, a media mogul, hardly recognizable as the awkward boy who was the butt of cruel jokes; Robby Brent, a popular comedian, whose caustic humor emanates from a childhood of rejection. Omnipresent is an old classmate, Jack Emerson, the chairman of the reunion, whose reasons for spearheading the event may be motivated by something other than class spirit. At the award dinner, Jean is introduced to Sam Deegan, a detective obsessed for years by the unsolved murder of a young woman in Cornwall, who may also hold the key to the identity of the Stonecroft killer and the source of the anonymous threat to her child. She does not suspect that among the distinguished people she is greeting is The Owl, a murderer nearing the countdown on his mission of vengeance against the Stonecroft women who had mocked and humiliated him, with Jean his final intended victim. In Nighttime Is My Time, Mary Higgins Clark creates a riveting novel of psychological suspense, penetrating behind the pervading façade of status and respectability to depict the mind of a killer. ""The definition of an owl had always pleased him: a night bird of prey...sharp talons and soft plumage which permits noiseless flight...applied figuratively to a person of nocturnal habits. 'I am The Owl,' he would whisper to himself after he had selected his prey, 'and nighttime is my time.'"" Jean Sheridan, a college dean and prominent historian, sets out to her hometown in Cornwall-on- Hudson, New York, to attend the twenty-year reunion of alumni of Stonecroft Academy, where she is to be honored along with six other members of her class. There is, however, something uneasy in the air: one woman in the group about to be feted, Alison Kendall, a beautiful, high-powered Hollywood agent, died just a few days before, drowned in her pool during an early- morning swim, the fifth woman in the class whose life has come to a sudden, mysterious end. Also adding to Jean's sense of unease is a taunting, anonymous fax she has just received, referring to her daughter, Lily, a child she had given up for adoption twenty years ago, the offspring of a romance between her and a West Point cadet killed in an accident a week before graduation. She had always kept the child's existence a secret, so who has found out? And why the implied threat now? Struggling to conceal her fears, Jean arrives at the hotel where the reunion is being held. One by one she sees the other honorees, including Laura Wilcox, the class beauty, whose dazzling exterior belies the fact that her television career is sinking, and the four men who, like Jean, had spent four bitterly unhappy years at Stonecroft: Carter (formerly Howie) Stewart, an acerbic and successful playwright, once the class nerd; renowned child psychiatrist and talk-show celebrity Mark Fleischman, who has never been able to resolve the pain of his own adolescence; Gordon Amory, a media mogul, hardly recognizable as the awkward boy who was the butt of cruel jokes; Robby Brent, a popular comedian, whose caustic humor emanates from a childhood of rejection. Omnipresent is an old classmate, Jack Emerson, the chairman of the reunion, whose reasons for spearheading the event may be motivated by something other than class spirit. At the award dinner, Jean is introduced to Sam Deegan, a detective obsessed for years by the unsolved murder of a young woman in Cornwall, who may also hold the key to the identity of the Stonecroft killer and the source of the anonymous threat to her child. She does not suspect that among the distinguished people she is greeting is The Owl, a murderer nearing the countdown on his mission of vengeance against the Stonecroft women who had mocked and humiliated him, with Jean his final intended victim. In Nighttime Is My Time, Mary Higgins Clark creates a riveting novel of psychological suspense, penetrating behind the pervading façade of status and respectability to depict the mind of a killer."
3406,0060514930,"Dead Ringer (Scottoline, Lisa)",Lisa Scottoline,2003,HarperCollins,,
3407,0446612510,The Fourth Perimeter,Tim Green,2003,Warner Books,Fiction,"Kurt Ford raised his son after his wife died. To compound his misery, his son, who joined the secret service, has now supposedly committed suicide. Kurt discovers others have died after meeting the president so he knows whom he has to kill!"
3408,1551669455,Deadly Grace,Taylor Smith,2003,Mira Books,Fiction,"Two elderly women were found murdered in their homes in England, and Jillian, it seems, was the last person to see both women alive."
3409,0553581023,Follow the Stars Home,Luanne Rice,2001,Bantam Books,Fiction,"A novel exploring the heart of a family focuses on the courage, love, and devotion of one mother as she tries to find the strength to forgive her ex-husband, the father of their exceptional child, with the help of her brother-in-law, the town pediatrician."
3410,0440225043,The Midnight Hour,Karen Robards,1999,Dell Publishing Company,Fiction,"A women judge and a police detective take on a stalker with hidden ties to their past, who threatens all they hold dear--including each other"
3411,0553802542,Thursday's Child,Sandra Brown,2002,Bantam Books,Fiction,"When she and her twin sister Ann switch places, Allison finds herself in the arms of Davis, Ann's fiance, but finds herself powerfully drawn to Davis's best friend, devastatingly sexy Spencer Raft, an attraction that puts Ann's engagement in danger, and as Allison flees to her lab to come to terms with her feelings, Spencer vows to teach her a lesson in love."
3412,0380807149,All Shook Up (Avon Romance),Susan Andersen,2001,Avon,,
3413,0446603392,Strange Highways,Dean Koontz,1996,Warner Books,,
3414,0399139540,Debt of Honor,Tom Clancy,1994,Putnam Publishing Group,Fiction,"Called out of retirement to serve as National Security Advisor to the president, Jack Ryan, with the help of CIA officers John Clark and Domingo Chavez, must prepare the untested president to meet the challenges of a new world order. 1,500,000 first printing."
3415,0449911446,Before Women Had Wings (Ballantine Reader's Circle),Connie May Fowler,1997,Ballantine Books,,
3416,0380793334,Joining,Johanna Lindsey,2000,Avon,,
3417,0345384377,Sole Survivor,DEAN KOONTZ,1997,Ballantine Books,,
3418,0425097773,Mask,Dean R. Koontz,1989,Penguin Putnam~mass,Horror tales,From the New York Times bestselling author of The House of Thunder and Hideaway. She appeared out of nowhere. And Paul and Carol were drawn to her immediately--the child they had never had. It was a dream come true--until the young girl's mask fell away to reveal the face of terrifying evil. Copyright © Libri GmbH. All rights reserved.
3419,0553580884,The Undertaker's Widow,Phillip Margolin,1999,Bantam Books,Fiction,Judge Richard Quinn struggles to follow justice in the trial of a congresswoman accused of murdering her mortician husband but instead finds himself in a maze of murder and deceit
3420,0553574957,The Burning Man,Phillip Margolin,1997,Bantam Books,Fiction,An arrogant attorney attempts to improve his character by becoming the public defender of a retarded man on trial for murder
3421,0399145885,Atlantis Found (Dirk Pitt Adventures (Hardcover)),Clive Cussler,1999,Putnam Publishing Group,Fiction,"When a research ship manned by Dirk Pitt and members of the U.S. National Underwater and Marine Agency is nearly sunk by a vessel from the past, Pitt finds himself caught up in an ancient mystery with lethal ties to the present, matching wits with a malevolent and powerful adversary. 775,000 first printing. BOMC Main. Tour."
3422,0446602620,Blood Work,Michael Connelly,1998,Warner Books,,
3423,0451202732,The Second Silence,Eileen Goudge,2001,Signet Book,,
3424,0802132758,Rosencrantz & Guildenstern Are Dead,Tom Stoppard,1991,Grove Press,,
3425,0553349481,Another Roadside Attraction,TOM ROBBINS,1990,Bantam,Fiction,"A clairvoyant girl enthralled by the mysterious beauty of butterflies marries the son of Congo missionaries, and the newlyweds set up a roadside zoo"
3426,0451208188,The English Assassin,Daniel Silva,2003,Signet Book,Fiction,"Sent to Zurich, Switzerland, to restore a painting owned by a reclusive millionaire banker, art expert and sometime Israeli agent Gabriel Allon discovers his would-be employer murdered and finds himself back in the espionage game, tangling with a rogue assassin he had trained. Reprint.."
3427,044900371X,The Orchid Thief (Ballantine Reader's Circle),Susan Orlean,2000,Ballantine Books,Biography &amp; Autobiography,"Describes the life and times of John Laroche, a plant smuggler and orchid thief, and the eccentric world of Florida's obsessed collectors of rare plants"
3428,0743422082,The Immaculate Deception,Iain Pears,2001,Pocket,Fiction,"Flavia di Stefano, the acting head of Italy's Art Theft Squad, attempts to track down the thief who stole a politically sensitive painting on loan from a foreign museum, a search that soon becomes a hunt for a killer. Reprint."
3429,0385491026,Cat's Eye,Margaret Atwood,1998,Anchor,Fiction,"Years after painter Elaine Risley flees Toronto for Vancouver, she returns to search for long-missing parts of her life and pursue the elusive Cordelia, her best friend and sometimes enemy"
3430,0449208109,Things Fall Apart,Chinua Achebe,1984,Ballantine Books,Fiction,The contemporary African writer's classic novel depicting the destruction of traditional tribal life by the white man
3431,0380715430,The Mother Tongue,Bill Bryson,1991,Perennial,Language Arts &amp; Disciplines,"With dazzling wit and astonishing insight, Bill Bryson--the acclaimed author of The Lost Continent--brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat (why you can talk but your dog can't), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world's largest growth industries."
3432,0449219232,Jasmine,Bharati Mukherjee,1991,Fawcett Books,Fiction,"Jasmine, a young widow in India, moves to the United States to begin a new life"
3433,0553227750,Clan of the Cave Bear,Jean Auel,1982,Bantam Doubleday Dell,American fiction,The Neanderthal world is portrayed reconstructing primordial daily life and beliefs.
3434,0451409361,The Lamorna Wink: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2000,Onyx Books,,
3435,0064400034,Farmer Boy (Little House),Laura Ingalls Wilder,1953,HarperTrophy,Juvenile Fiction,"While Laura Ingalls grows up in a little house on the western prairie, Almanzo Wilder is living on a big farm in New York State. Here Almanzo and his brother and sisters help with the summer planting and fall harvest. In winter there is wood to be chopped and great slabs of ice to be cut from the river and stored. Time for fun comes when the jolly tin peddler visits, or best of all, when the fair comes to town. This is Laura Ingalls Wilder's beloved story of how her husband Almanzo grew up as a farmer boy far from the little house where Laura lived."
3436,0394800168,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),Dr. Seuss,1960,Random House Books for Young Readers,Juvenile Fiction,Sam-I-Am tries to persuade his friend to try green eggs and ham.
3437,0590494465,"The Haunted Mask (Goosebumps, No 11)",R. L. Stine,1995,Scholastic,Juvenile Fiction,A young girl buys the most frighteningly life-like Halloween mask ever--only to discover that she can't take it off.
3438,0380762609,All I Need Is You,Johanna Lindsey,1998,Avon,Fiction,"Headstrong Casey Straton inherited her mother's beautiful eyes and her father's stubborn temperament. So when she is denied the responsibility of running her grandfather's ranch despite her unladylike prowess at roping, riding and shooting the high-spirited hellion storms away from her Texas home, determined to prove she can do much more than ""woman's work."" Successful businessman Damian Rutledge III came West for vengeance. But though he possesses a powerful physique and unwavering courage, the handsome Eastern ""dude"" would have surely been lost in the wild west without the timely intervention of a half-pint bounty hunter called ""Ed."" There is more to this fearless gunslinger than first meets the eye, however. And when Damian discovers his rescuer is, in fact, a stunningly sensuous young lady named ""Casey' in disguise, he realises dial there are going to be very serious complications on the rocky trail that is leading them both toward a dangerous, irrepressible love. Johanna Lindsey's enchanting romantic adventure All I Need Is You is the sequel to her immensely popular A Heart So Wild. Lovely and tempestuous Casey Straton the headstrong child of Chandros Straton and Courtney Harte leaves her Texas home determined to prove to her parents that she can do more than ""woman's work."" Successful businessman Damien Rutledge III came west looking for vengeance. But though he is strong and fearless, the handsome Eastern ""dude"" would have surely been lost in the wild West were it not for the timely intervention of a half-pint bounty hunter called ""Kid."" but when Damien discovers his rescuer is, in fact, a stunningly sensuous young lady named Casey in disguise, he realises that there are going to be very serious complications on the rocky trail that is leading them both toward a dangerous, irrepressible love."
3439,0440237009,The House on Hope Street,Danielle Steel,2001,Dell Publishing Company,Fiction,"After an accident claims her husband of eighteen years, Liz Sutherland must grieve, console her five children, and learn to get on with her life. Reprint."
3440,0671749412,Going Home,Danielle Steel,1991,Pocket,Fiction,"From Danielle Steel, one of the world’s bestselling authors, comes a special reissue of her very first novel, in which a woman is forced to flee her past and come to terms with the truth. In the sun swept beauty of San Francisco, Gillian Forrester is filled with the joy of a love that will surely last. But a painful betrayal forces her to flee to New York and begin a new life. There she discovers an exciting new career and a deep, enveloping passion…only to have her newfound happiness shaken to its core. Now Gillian must choose between her future and her past, and find in the deepest desires of her heart the one way, the only way of Going Home."
3441,0440186560,To Love Again,Danielle Steel,1981,Dell,Fiction,"Isabella is shocked when her wealthy and powerful husband becomes the victim of a brutal kidnapping. Still grieving, she finally tries to love again."
3442,0440184053,Summer's End,Danielle Steel,1980,Dell,Fiction,"Left alone for the summer by her rebellious teenage daughter and a husband whose international business activities allow them almost no time together, Deanna Duras finds solace from her loneliness in an affair with Ben Thompson. Reissue."
3443,0440185327,Thurston House,Danielle Steel,1984,Dell,Fiction,The story of Jeremiah Thurston who would stop at nothing to ensure that his daughter would be heir to the biggest mining company in California.
3444,0440217547,Accident,Danielle Steel,1995,Dell,Fiction,"Happy housewife Page Clarke finds her life changed forever when her teenaged daughter, Allyson, is in a car accident, and, without her husband Brad there to lean on, Page turns to handsome Trygve, whose own daughter was also injured. Reprint."
3445,0515115630,Family Blessings,LaVyrle Spencer,1996,Jove Books,,
3446,055357602X,In a Class by Itself,Sandra Brown,2000,Bantam Books,Fiction,"Ten years after her high-school graduation--and her failed elopement with Logan Webster--Dani Quinn returns home for her tenth reunion, dreading a confrontation with the man she had betrayed and desperately struggling to find a way to come to terms with the past. Reprint."
3447,0451196716,The Long Walk,Stephen King,1999,Signet Book,Fiction,"In a futuristic America ruled by ultraconservatives, one hundred of the nation's hardiest boys must endure a five-hundred-mile marathon race known as the Long Walk, a lethal contest of determination and endurance in which each tortured step becomes a harrowing struggle for survival, in order to win fame and fortune. Reissue."
3448,1551662779,Best Of Enemies,Taylor Smith,1997,Mira,Fiction,"College professor Leya Nash becomes involved in a dangerous conspiracy when one of her students, the daughter of an American foreign ambassador, is implicated in a terrorist bombing."
3449,0451201744,The Walking,Bentley Little,2000,Signet Book,Fiction,"Across the country, the dead have risen and they're on a mission. No one knows why they are walking or where they are going and no one can stop them. The Bram Stoker Award-winning writer and author of ""The Store, The Ignored"", and ""The Town"" is ""a master of the macabre"" (Stephen King)."
3450,0515090166,The Cat Who Saw Red,Lilian Jackson Braun,1991,Jove Books,Fiction,"After moving into an old mansion whose previous owner committed suicide, prize-winning reporter Qwilleran and his two Siamese cats are disturbed by strange occurrences and start to investigate when Qwilleran's old girlfriend disappears"
3451,0515087947,The Cat Who Turned on and Off (Cat Who... (Paperback)),Lilian Jackson Braun,1995,Jove Books,Fiction,"Reporter Jim Qwilleran teams up with the brilliant Siamese cat, Koko, and the adorable female Siamese, Yum Yum, to investigate Junktown, a haven for antique dealers and collectors, not the dope den Qwilleran anticipated"
3452,0451167805,Firestarter,Stephen King,2003,Signet Book,Fiction,"Andy and Vicky McGee's eight-year-old daughter, Charlie, has the ability to set things on fire and a secret government agency is determined to make use of Charlie's horrifyingly destructive gift"
3453,0451132378,Pet Sematary,Stephen King,1984,Signet Book,,
3454,0451190564,The Green Mile: Night Journey (Green Mile Series),Stephen King,1996,Signet Book,Horror tales,
3455,0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,Signet Book,Fiction,Time runs out for one of the inmates on death row at Cold Mountain penitentiary.
3456,055357227X,"The Web (Alex Delaware Series, No. 10)",JONATHAN KELLERMAN,1996,Bantam,"Delaware, Alex (Fictitious character)","Alex Delaware accepts a job organizing the notes of scientist Bill Moreland, thinking he is getting an easy, four-month job on a tropical island, but Moreland's gruesome case files provide clues to a nagging mystery Alex feels he cannot ignore."
3457,055329170X,Time Bomb (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1991,Bantam Books,,
3458,0425174271,Certain Prey,John Sandford,2000,Berkley Publishing Group,Fiction,"When the murderer of a wealthy socialite ruthlessly hunts down a witness to the crime, and the detective assigned to the case, Lucas Davenport. Reissue."
3459,0425126064,Shadow Prey,John Sandford,2004,Berkley Publishing Group,Fiction,A #1 New York Times bestselling author.
3460,0440986524,"That Was Then, This Is Now",S. E. Hinton,1989,Random House Childrens Pub (Mm),,
3461,0061042935,Everywhere That Mary Went,Lisa Scottoline,1993,HarperTorch,Fiction,"Mary DiNunzio is trying to make partner in her cutthroat Philadelphia law firm. She's too busy to worry about the crank phone calls that she's been getting—until they fall into a sinister pattern. Mary can't shake the sensation that someone is watching her. Following her every move. Then the shadowboxing turns deadly, and she has to fight for something a lot more important than a partnership—her life."
3462,0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group,Fiction,"In this thirteenth Prey novel, Lucas Davenport joins forces with a hit woman who comes perilously close to doing him in."
3463,0451202287,Tracking Time (April Woo Suspense Novels (Paperback)),Leslie Glass,2001,Signet Book,Fiction,"The disappearance of a young doctor in Central Park brings Detective Sergeant April Woo and her canine unit into the case, but the crack crime-fighting team sniffs out another body instead, complicating and already difficult murder investigation. Reprint."
3464,0380708213,The Forever War,Joe Haldeman,1991,Eos,Fiction,Mandella feels hopelessly frustrated as a foot soldier in a century-long interplanetary war.
